-e Time,			total,	used,	free,	cache
-e 14-12-17 08:33:23,	 0k,	 0k,	 0k,	 1479212k
-e 14-12-17 08:33:27,	 0k,	 0k,	 0k,	 1476464k
-e 14-12-17 08:33:30,	 0k,	 0k,	 0k,	 1476928k
-e 14-12-17 08:33:34,	 0k,	 0k,	 0k,	 1477152k
-e 14-12-17 08:33:37,	 0k,	 0k,	 0k,	 1476912k
-e 14-12-17 08:33:41,	 0k,	 0k,	 0k,	 1477072k
-e 14-12-17 08:33:45,	 0k,	 0k,	 0k,	 1477472k
-e 14-12-17 08:33:48,	 0k,	 0k,	 0k,	 1572472k
-e 14-12-17 08:33:52,	 0k,	 0k,	 0k,	 1572852k
-e 14-12-17 08:33:55,	 0k,	 0k,	 0k,	 1572852k
-e 14-12-17 08:33:59,	 0k,	 0k,	 0k,	 1476428k
-e 14-12-17 08:34:02,	 0k,	 0k,	 0k,	 1476868k
-e 14-12-17 08:34:06,	 0k,	 0k,	 0k,	 1476968k
-e 14-12-17 08:34:09,	 0k,	 0k,	 0k,	 1476688k
-e 14-12-17 08:34:13,	 0k,	 0k,	 0k,	 1487404k
-e 14-12-17 08:34:17,	 0k,	 0k,	 0k,	 1477720k
-e 14-12-17 08:34:20,	 0k,	 0k,	 0k,	 1477960k
-e 14-12-17 08:34:24,	 0k,	 0k,	 0k,	 1476476k
-e 14-12-17 08:34:27,	 0k,	 0k,	 0k,	 1477496k
-e 14-12-17 08:34:31,	 0k,	 0k,	 0k,	 1476612k
-e 14-12-17 08:34:34,	 0k,	 0k,	 0k,	 1479816k
-e 14-12-17 08:34:38,	 0k,	 0k,	 0k,	 1477744k
-e 14-12-17 08:34:42,	 0k,	 0k,	 0k,	 1519964k
-e 14-12-17 08:34:45,	 0k,	 0k,	 0k,	 1571856k
-e 14-12-17 08:34:49,	 0k,	 0k,	 0k,	 1572728k
-e 14-12-17 08:34:52,	 0k,	 0k,	 0k,	 1572728k
-e 14-12-17 08:34:56,	 0k,	 0k,	 0k,	 1572728k
