-e Time,			total,	used,	free,	cache
-e 14-12-17 08:50:03,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:06,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:10,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:13,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:17,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:20,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:24,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:28,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:31,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:35,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:38,	 0k,	 0k,	 0k,	 1577440k
-e 14-12-17 08:50:42,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:45,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:49,	 0k,	 0k,	 0k,	 1577448k
-e 14-12-17 08:50:52,	 0k,	 0k,	 0k,	 1577460k
-e 14-12-17 08:50:56,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:50:59,	 0k,	 0k,	 0k,	 1577436k
-e 14-12-17 08:51:03,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:51:07,	 0k,	 0k,	 0k,	 1577444k
-e 14-12-17 08:51:10,	 0k,	 0k,	 0k,	 1577444k
