-e Time,			1min,	5min,	15min
-e 14-12-17 08:33:34,	 10.98,	 5.95	 top 
-e 14-12-17 08:33:37,	 10.98,	 5.95	 top 
-e 14-12-17 08:33:41,	 11.02,	 5.99	 top 
-e 14-12-17 08:33:44,	 10.93,	 5.99	 top 
-e 14-12-17 08:33:48,	 10.77,	 5.96	 top 
-e 14-12-17 08:33:52,	 10.77,	 5.96	 top 
-e 14-12-17 08:33:55,	 10.59,	 5.93	 top 
-e 14-12-17 08:33:59,	 10.41,	 5.89	 top 
-e 14-12-17 08:34:02,	 10.41,	 5.89	 top 
-e 14-12-17 08:34:06,	 10.49,	 5.94	 top 
-e 14-12-17 08:34:09,	 10.37,	 5.93	 top 
-e 14-12-17 08:34:13,	 10.28,	 5.92	 top 
-e 14-12-17 08:34:16,	 10.28,	 5.92	 top 
-e 14-12-17 08:34:20,	 10.27,	 5.94	 top 
-e 14-12-17 08:34:24,	 10.33,	 5.99	 top 
-e 14-12-17 08:34:27,	 10.33,	 5.99	 top 
-e 14-12-17 08:34:31,	 10.28,	 5.99	 top 
-e 14-12-17 08:34:34,	 10.24,	 6.00	 top 
-e 14-12-17 08:34:38,	 10.20,	 6.02	 top 
-e 14-12-17 08:34:41,	 10.20,	 6.02	 top 
-e 14-12-17 08:34:45,	 10.42,	 6.11	 top 
-e 14-12-17 08:34:48,	 10.24,	 6.07	 top 
-e 14-12-17 08:34:52,	 10.24,	 6.07	 top 
-e 14-12-17 08:34:55,	 10.07,	 6.04	 top 
-e 14-12-17 08:34:59,	 9.91,	 6.01	 top 
-e 14-12-17 08:35:03,	 9.91,	 6.01	 top 
-e 14-12-17 08:35:06,	 9.74,	 5.98	 top 
-e 14-12-17 08:35:10,	 9.58,	 5.94	 top 
-e 14-12-17 08:35:13,	 9.44,	 5.92	 top 
-e 14-12-17 08:35:17,	 9.44,	 5.92	 top 
-e 14-12-17 08:35:20,	 9.28,	 5.89	 top 
-e 14-12-17 08:35:24,	 9.13,	 5.85	 top 
-e 14-12-17 08:35:27,	 9.13,	 5.85	 top 
-e 14-12-17 08:35:31,	 8.98,	 5.82	 top 
-e 14-12-17 08:35:34,	 8.83,	 5.79	 top 
-e 14-12-17 08:35:38,	 8.68,	 5.76	 top 
-e 14-12-17 08:35:42,	 8.68,	 5.76	 top 
-e 14-12-17 08:35:45,	 8.54,	 5.73	 top 
-e 14-12-17 08:35:49,	 8.39,	 5.70	 top 
-e 14-12-17 08:35:52,	 8.39,	 5.70	 top 
-e 14-12-17 08:35:56,	 8.35,	 5.70	 top 
-e 14-12-17 08:35:59,	 8.22,	 5.67	 top 
-e 14-12-17 08:36:03,	 8.08,	 5.64	 top 
-e 14-12-17 08:36:06,	 8.08,	 5.64	 top 
-e 14-12-17 08:36:10,	 7.95,	 5.61	 top 
-e 14-12-17 08:36:13,	 7.81,	 5.58	 top 
-e 14-12-17 08:36:17,	 7.81,	 5.58	 top 
-e 14-12-17 08:36:21,	 7.68,	 5.55	 top 
-e 14-12-17 08:36:24,	 7.56,	 5.52	 top 
-e 14-12-17 08:36:28,	 7.56,	 5.52	 top 
-e 14-12-17 08:36:31,	 7.43,	 5.49	 top 
-e 14-12-17 08:36:35,	 7.31,	 5.46	 top 
-e 14-12-17 08:36:38,	 7.19,	 5.43	 top 
-e 14-12-17 08:36:42,	 7.19,	 5.43	 top 
-e 14-12-17 08:36:45,	 7.07,	 5.40	 top 
-e 14-12-17 08:36:49,	 6.95,	 5.37	 top 
-e 14-12-17 08:36:52,	 6.95,	 5.37	 top 
-e 14-12-17 08:36:56,	 6.83,	 5.34	 top 
-e 14-12-17 08:36:59,	 6.72,	 5.32	 top 
-e 14-12-17 08:37:03,	 6.61,	 5.29	 top 
-e 14-12-17 08:37:07,	 6.61,	 5.29	 top 
-e 14-12-17 08:37:10,	 6.50,	 5.26	 top 
-e 14-12-17 08:37:14,	 6.39,	 5.23	 top 
-e 14-12-17 08:37:17,	 6.39,	 5.23	 top 
-e 14-12-17 08:37:21,	 6.29,	 5.20	 top 
-e 14-12-17 08:37:24,	 6.18,	 5.17	 top 
-e 14-12-17 08:37:28,	 6.18,	 5.17	 top 
-e 14-12-17 08:37:31,	 6.08,	 5.15	 top 
-e 14-12-17 08:37:35,	 5.98,	 5.12	 top 
-e 14-12-17 08:37:38,	 5.95,	 5.11	 top 
-e 14-12-17 08:37:42,	 5.95,	 5.11	 top 
-e 14-12-17 08:37:46,	 5.98,	 5.13	 top 
-e 14-12-17 08:37:49,	 5.88,	 5.10	 top 
-e 14-12-17 08:37:53,	 5.88,	 5.10	 top 
-e 14-12-17 08:37:56,	 5.78,	 5.07	 top 
-e 14-12-17 08:38:00,	 5.69,	 5.05	 top 
-e 14-12-17 08:38:03,	 5.59,	 5.02	 top 
-e 14-12-17 08:38:07,	 5.59,	 5.02	 top 
-e 14-12-17 08:38:10,	 5.50,	 4.99	 top 
-e 14-12-17 08:38:14,	 5.41,	 4.97	 top 
-e 14-12-17 08:38:17,	 5.41,	 4.97	 top 
-e 14-12-17 08:38:21,	 5.32,	 4.94	 top 
-e 14-12-17 08:38:25,	 5.23,	 4.91	 top 
-e 14-12-17 08:38:28,	 5.14,	 4.89	 top 
-e 14-12-17 08:38:32,	 5.14,	 4.89	 top 
-e 14-12-17 08:38:35,	 5.06,	 4.86	 top 
-e 14-12-17 08:38:39,	 4.97,	 4.83	 top 
-e 14-12-17 08:38:42,	 4.97,	 4.83	 top 
-e 14-12-17 08:38:46,	 4.89,	 4.81	 top 
-e 14-12-17 08:38:49,	 4.81,	 4.78	 top 
-e 14-12-17 08:38:53,	 4.81,	 4.78	 top 
-e 14-12-17 08:38:56,	 4.73,	 4.76	 top 
-e 14-12-17 08:39:00,	 4.65,	 4.73	 top 
-e 14-12-17 08:39:03,	 4.57,	 4.70	 top 
-e 14-12-17 08:39:07,	 4.57,	 4.70	 top 
-e 14-12-17 08:39:11,	 4.50,	 4.68	 top 
-e 14-12-17 08:39:14,	 4.42,	 4.65	 top 
-e 14-12-17 08:39:18,	 4.42,	 4.65	 top 
-e 14-12-17 08:39:21,	 4.35,	 4.63	 top 
-e 14-12-17 08:39:25,	 4.31,	 4.62	 top 
-e 14-12-17 08:39:28,	 4.24,	 4.59	 top 
-e 14-12-17 08:39:32,	 4.24,	 4.59	 top 
-e 14-12-17 08:39:35,	 4.17,	 4.57	 top 
-e 14-12-17 08:39:39,	 4.10,	 4.54	 top 
-e 14-12-17 08:39:42,	 4.10,	 4.54	 top 
-e 14-12-17 08:39:46,	 4.03,	 4.52	 top 
-e 14-12-17 08:39:50,	 3.96,	 4.49	 top 
-e 14-12-17 08:39:53,	 3.90,	 4.47	 top 
-e 14-12-17 08:39:57,	 3.90,	 4.47	 top 
-e 14-12-17 08:40:00,	 3.83,	 4.45	 top 
-e 14-12-17 08:40:04,	 3.77,	 4.42	 top 
-e 14-12-17 08:40:07,	 3.77,	 4.42	 top 
-e 14-12-17 08:40:11,	 3.71,	 4.40	 top 
-e 14-12-17 08:40:14,	 3.65,	 4.37	 top 
