-e Time,			us,	sy,	ni,	id,	wa
-e 14-12-17 08:32:02,	 17.9%,	 3.8%,	 0.0%,	 77.7%,	 0.0%
-e 14-12-17 08:32:05,	 18.1%,	 14.3%,	 0.0%,	 65.4%,	 0.0%
-e 14-12-17 08:32:09,	 12.5%,	 7.1%,	 0.0%,	 78.4%,	 0.0%
-e 14-12-17 08:32:12,	 14.4%,	 9.0%,	 0.0%,	 74.2%,	 0.0%
-e 14-12-17 08:32:16,	 15.0%,	 9.2%,	 0.0%,	 73.7%,	 0.0%
-e 14-12-17 08:32:20,	 15.0%,	 9.3%,	 0.0%,	 73.4%,	 0.0%
-e 14-12-17 08:32:23,	 15.2%,	 9.8%,	 0.0%,	 72.8%,	 0.0%
-e 14-12-17 08:32:27,	 12.9%,	 8.3%,	 0.0%,	 76.9%,	 0.0%
-e 14-12-17 08:32:30,	 13.6%,	 8.3%,	 0.0%,	 75.6%,	 0.6%
-e 14-12-17 08:32:34,	 14.8%,	 8.6%,	 0.0%,	 74.6%,	 0.0%
-e 14-12-17 08:32:37,	 12.6%,	 7.7%,	 0.0%,	 77.9%,	 0.0%
-e 14-12-17 08:32:41,	 12.4%,	 7.5%,	 0.0%,	 78.4%,	 0.0%
-e 14-12-17 08:32:45,	 11.5%,	 7.2%,	 0.0%,	 79.6%,	 0.0%
-e 14-12-17 08:32:48,	 6.0%,	 3.6%,	 0.0%,	 89.3%,	 0.0%
-e 14-12-17 08:32:52,	 7.1%,	 4.7%,	 0.0%,	 87.0%,	 0.0%
-e 14-12-17 08:32:55,	 1.6%,	 1.1%,	 0.0%,	 97.1%,	 0.0%
-e 14-12-17 08:32:59,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:33:02,	 2.1%,	 1.8%,	 0.0%,	 95.9%,	 0.0%
-e 14-12-17 08:33:06,	 11.8%,	 8.3%,	 0.0%,	 78.3%,	 0.0%
-e 14-12-17 08:33:10,	 13.9%,	 8.7%,	 0.0%,	 75.2%,	 0.0%
-e 14-12-17 08:33:13,	 14.5%,	 8.6%,	 0.0%,	 74.3%,	 0.5%
-e 14-12-17 08:33:17,	 12.8%,	 8.5%,	 0.0%,	 72.8%,	 3.8%
-e 14-12-17 08:33:20,	 14.7%,	 8.6%,	 0.0%,	 37.0%,	 37.9%
-e 14-12-17 08:33:24,	 16.1%,	 8.1%,	 0.0%,	 74.3%,	 0.0%
-e 14-12-17 08:33:27,	 15.0%,	 8.7%,	 0.0%,	 74.4%,	 0.0%
-e 14-12-17 08:33:31,	 15.0%,	 8.7%,	 0.0%,	 74.5%,	 0.0%
-e 14-12-17 08:33:35,	 15.5%,	 8.6%,	 0.0%,	 74.1%,	 0.1%
-e 14-12-17 08:33:38,	 17.7%,	 9.6%,	 0.0%,	 69.3%,	 1.3%
-e 14-12-17 08:33:42,	 17.0%,	 9.9%,	 0.0%,	 71.2%,	 0.0%
-e 14-12-17 08:33:45,	 15.6%,	 9.0%,	 0.0%,	 65.0%,	 8.2%
-e 14-12-17 08:33:49,	 4.5%,	 2.5%,	 0.0%,	 61.7%,	 30.6%
-e 14-12-17 08:33:52,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:33:56,	 0.1%,	 0.2%,	 0.0%,	 99.7%,	 0.0%
-e 14-12-17 08:33:59,	 12.6%,	 7.5%,	 0.0%,	 78.2%,	 0.0%
-e 14-12-17 08:34:03,	 12.9%,	 7.8%,	 0.0%,	 77.9%,	 0.0%
-e 14-12-17 08:34:07,	 13.5%,	 7.1%,	 0.0%,	 77.8%,	 0.1%
-e 14-12-17 08:34:10,	 13.1%,	 7.1%,	 0.0%,	 78.2%,	 0.0%
-e 14-12-17 08:34:14,	 14.3%,	 8.4%,	 0.0%,	 29.2%,	 46.3%
-e 14-12-17 08:34:17,	 15.1%,	 8.4%,	 0.0%,	 74.8%,	 0.0%
-e 14-12-17 08:34:21,	 14.1%,	 8.1%,	 0.0%,	 76.1%,	 0.0%
-e 14-12-17 08:34:24,	 15.9%,	 9.5%,	 0.0%,	 72.9%,	 0.0%
-e 14-12-17 08:34:28,	 14.6%,	 8.5%,	 0.0%,	 74.7%,	 0.7%
-e 14-12-17 08:34:32,	 13.7%,	 8.4%,	 0.0%,	 76.2%,	 0.0%
-e 14-12-17 08:34:35,	 16.3%,	 9.3%,	 0.0%,	 72.6%,	 0.0%
-e 14-12-17 08:34:39,	 15.9%,	 9.5%,	 0.0%,	 72.7%,	 0.1%
-e 14-12-17 08:34:42,	 13.8%,	 7.6%,	 0.0%,	 66.7%,	 10.5%
-e 14-12-17 08:34:46,	 0.1%,	 0.2%,	 0.0%,	 99.7%,	 0.0%
-e 14-12-17 08:34:49,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:34:53,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:34:57,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:35:00,	 0.1%,	 0.8%,	 0.0%,	 99.2%,	 0.0%
