-e Time,			us,	sy,	ni,	id,	wa
-e 14-12-17 08:44:39,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:42,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:46,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:49,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:53,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:44:56,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:00,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:03,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:07,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:10,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:14,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:18,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:21,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:25,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:28,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:32,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:35,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:39,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:42,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:46,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:49,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:53,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:45:57,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:00,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:04,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:07,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:11,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:14,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:18,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:21,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:25,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:29,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:32,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:36,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:39,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:43,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:46,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:50,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:53,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:46:57,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:00,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:04,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:08,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:11,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:15,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:18,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:22,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:25,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:29,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:32,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:36,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:39,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:43,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:47,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:50,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:54,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:47:57,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:01,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:04,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:08,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:11,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:15,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:19,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:22,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:26,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:29,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:33,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:36,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:40,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:43,	 0.0%,	 0.2%,	 0.0%,	 99.7%,	 0.0%
-e 14-12-17 08:48:47,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:50,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:54,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:48:58,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:01,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:05,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:08,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:12,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:15,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:19,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:22,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:26,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:30,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:33,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:37,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:40,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:44,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:47,	 0.1%,	 0.2%,	 0.0%,	 99.7%,	 0.0%
-e 14-12-17 08:49:51,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:54,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:49:58,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:01,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:05,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:09,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:12,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:16,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:19,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:23,	 0.1%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:26,	 0.1%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:30,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:33,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:37,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:41,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:44,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:48,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:51,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:55,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:50:58,	 0.0%,	 0.1%,	 0.0%,	 99.9%,	 0.0%
-e 14-12-17 08:51:02,	 0.0%,	 0.1%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:51:05,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
-e 14-12-17 08:51:09,	 0.0%,	 0.2%,	 0.0%,	 99.8%,	 0.0%
