-e Time,			total,	used,	buffer
-e 14-12-17 08:33:30,	 61598796k,	 9577764k,	 52021032k
-e 14-12-17 08:33:34,	 61598796k,	 9574648k,	 52024148k
-e 14-12-17 08:33:37,	 61598796k,	 9609912k,	 51988884k
-e 14-12-17 08:33:41,	 61598796k,	 9608852k,	 51989944k
-e 14-12-17 08:33:44,	 61598796k,	 9610172k,	 51988624k
-e 14-12-17 08:33:48,	 61598796k,	 9367144k,	 52231652k
-e 14-12-17 08:33:52,	 61598796k,	 9362244k,	 52236552k
-e 14-12-17 08:33:55,	 61598796k,	 9360192k,	 52238604k
-e 14-12-17 08:33:59,	 61598796k,	 9601576k,	 51997220k
-e 14-12-17 08:34:02,	 61598796k,	 9711248k,	 51887548k
-e 14-12-17 08:34:06,	 61598796k,	 9714396k,	 51884400k
-e 14-12-17 08:34:09,	 61598796k,	 9710268k,	 51888528k
-e 14-12-17 08:34:13,	 61598796k,	 9735092k,	 51863704k
-e 14-12-17 08:34:16,	 61598796k,	 9720620k,	 51878176k
-e 14-12-17 08:34:20,	 61598796k,	 9724000k,	 51874796k
-e 14-12-17 08:34:24,	 61598796k,	 9811436k,	 51787360k
-e 14-12-17 08:34:27,	 61598796k,	 9810064k,	 51788732k
-e 14-12-17 08:34:31,	 61598796k,	 9815512k,	 51783284k
-e 14-12-17 08:34:34,	 61598796k,	 9822568k,	 51776228k
-e 14-12-17 08:34:38,	 61598796k,	 9825188k,	 51773608k
-e 14-12-17 08:34:41,	 61598796k,	 9784136k,	 51814660k
-e 14-12-17 08:34:45,	 61598796k,	 9625736k,	 51973060k
-e 14-12-17 08:34:48,	 61598796k,	 9620528k,	 51978268k
-e 14-12-17 08:34:52,	 61598796k,	 9620256k,	 51978540k
-e 14-12-17 08:34:56,	 61598796k,	 9617020k,	 51981776k
-e 14-12-17 08:34:59,	 61598796k,	 4613904k,	 56984892k
-e 14-12-17 08:35:03,	 61598796k,	 3276788k,	 58322008k
-e 14-12-17 08:35:06,	 61598796k,	 3281656k,	 58317140k
-e 14-12-17 08:35:10,	 61598796k,	 3281740k,	 58317056k
-e 14-12-17 08:35:13,	 61598796k,	 3282388k,	 58316408k
-e 14-12-17 08:35:17,	 61598796k,	 3282204k,	 58316592k
-e 14-12-17 08:35:20,	 61598796k,	 3282944k,	 58315852k
-e 14-12-17 08:35:24,	 61598796k,	 3281684k,	 58317112k
-e 14-12-17 08:35:27,	 61598796k,	 3283428k,	 58315368k
-e 14-12-17 08:35:31,	 61598796k,	 3281628k,	 58317168k
-e 14-12-17 08:35:34,	 61598796k,	 3281800k,	 58316996k
-e 14-12-17 08:35:38,	 61598796k,	 3279372k,	 58319424k
-e 14-12-17 08:35:42,	 61598796k,	 3279592k,	 58319204k
-e 14-12-17 08:35:45,	 61598796k,	 3279444k,	 58319352k
-e 14-12-17 08:35:49,	 61598796k,	 3279932k,	 58318864k
-e 14-12-17 08:35:52,	 61598796k,	 3280224k,	 58318572k
-e 14-12-17 08:35:56,	 61598796k,	 3280500k,	 58318296k
-e 14-12-17 08:35:59,	 61598796k,	 3280164k,	 58318632k
-e 14-12-17 08:36:03,	 61598796k,	 3280292k,	 58318504k
-e 14-12-17 08:36:06,	 61598796k,	 3279016k,	 58319780k
-e 14-12-17 08:36:10,	 61598796k,	 3279252k,	 58319544k
-e 14-12-17 08:36:13,	 61598796k,	 3278348k,	 58320448k
-e 14-12-17 08:36:17,	 61598796k,	 3279284k,	 58319512k
-e 14-12-17 08:36:21,	 61598796k,	 3279140k,	 58319656k
-e 14-12-17 08:36:24,	 61598796k,	 3279572k,	 58319224k
-e 14-12-17 08:36:28,	 61598796k,	 3280144k,	 58318652k
-e 14-12-17 08:36:31,	 61598796k,	 3280076k,	 58318720k
-e 14-12-17 08:36:35,	 61598796k,	 3280400k,	 58318396k
-e 14-12-17 08:36:38,	 61598796k,	 3280504k,	 58318292k
-e 14-12-17 08:36:42,	 61598796k,	 3280252k,	 58318544k
-e 14-12-17 08:36:45,	 61598796k,	 3281036k,	 58317760k
-e 14-12-17 08:36:49,	 61598796k,	 3280340k,	 58318456k
-e 14-12-17 08:36:52,	 61598796k,	 3281212k,	 58317584k
-e 14-12-17 08:36:56,	 61598796k,	 3280416k,	 58318380k
-e 14-12-17 08:36:59,	 61598796k,	 3280976k,	 58317820k
-e 14-12-17 08:37:03,	 61598796k,	 3280404k,	 58318392k
-e 14-12-17 08:37:07,	 61598796k,	 3280340k,	 58318456k
-e 14-12-17 08:37:10,	 61598796k,	 3279776k,	 58319020k
-e 14-12-17 08:37:14,	 61598796k,	 3279244k,	 58319552k
-e 14-12-17 08:37:17,	 61598796k,	 3280012k,	 58318784k
-e 14-12-17 08:37:21,	 61598796k,	 3279404k,	 58319392k
-e 14-12-17 08:37:24,	 61598796k,	 3280572k,	 58318224k
-e 14-12-17 08:37:28,	 61598796k,	 3280368k,	 58318428k
-e 14-12-17 08:37:31,	 61598796k,	 3279608k,	 58319188k
-e 14-12-17 08:37:35,	 61598796k,	 3281032k,	 58317764k
-e 14-12-17 08:37:38,	 61598796k,	 3280836k,	 58317960k
-e 14-12-17 08:37:42,	 61598796k,	 3279368k,	 58319428k
-e 14-12-17 08:37:46,	 61598796k,	 3280332k,	 58318464k
-e 14-12-17 08:37:49,	 61598796k,	 3279688k,	 58319108k
-e 14-12-17 08:37:53,	 61598796k,	 3280064k,	 58318732k
-e 14-12-17 08:37:56,	 61598796k,	 3279248k,	 58319548k
-e 14-12-17 08:38:00,	 61598796k,	 3279512k,	 58319284k
-e 14-12-17 08:38:03,	 61598796k,	 3279984k,	 58318812k
-e 14-12-17 08:38:07,	 61598796k,	 3281100k,	 58317696k
-e 14-12-17 08:38:10,	 61598796k,	 3280804k,	 58317992k
-e 14-12-17 08:38:14,	 61598796k,	 3280384k,	 58318412k
-e 14-12-17 08:38:17,	 61598796k,	 3280412k,	 58318384k
-e 14-12-17 08:38:21,	 61598796k,	 3279600k,	 58319196k
-e 14-12-17 08:38:25,	 61598796k,	 3280736k,	 58318060k
